Model name   Start date   End date   Unit   Dimensions   Grid   Resolution   Data type
tas_Amon_EC-Earth3-Veg_ssp585_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91-ORCA1L75   100 km   float32
tas_Amon_EC-Earth3_ssp119_r4i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91   100 km   float32
tas_Amon_EC-Earth3_ssp126_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91   100 km   float32
tas_Amon_EC-Earth3_ssp245_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91   100 km   float32
tas_Amon_EC-Earth3_ssp370_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91   100 km   float32
tas_Amon_EC-Earth3_ssp585_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91   100 km   float32
tas_Amon_FGOALS-f3-L_ssp126_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 180, 'lon': 288})   gs1x1   100 km   float32
tas_Amon_FGOALS-f3-L_ssp245_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 180, 'lon': 288})   gs1x1   100 km   float32
tas_Amon_FGOALS-f3-L_ssp370_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 180, 'lon': 288})   gs1x1   100 km   float32
tas_Amon_FGOALS-f3-L_ssp585_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 180, 'lon': 288})   gs1x1   100 km   float32
tas_Amon_FGOALS-g3_ssp119_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 80, 'lon': 180})   native atmosphere area-weighted latxlon grid (80x180 latxlon)   250 km   float32
tas_Amon_FGOALS-g3_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 80, 'lon': 180})   native atmosphere area-weighted latxlon grid (80x180 latxlon)   250 km   float32
tas_Amon_FGOALS-g3_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 80, 'lon': 180})   native atmosphere area-weighted latxlon grid (80x180 latxlon)   250 km   float32
tas_Amon_FGOALS-g3_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 80, 'lon': 180})   native atmosphere area-weighted latxlon grid (80x180 latxlon)   250 km   float32
tas_Amon_FGOALS-g3_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 80, 'lon': 180})   native atmosphere area-weighted latxlon grid (80x180 latxlon)   250 km   float32
tas_Amon_FIO-ESM-2-0_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   native atmosphere regular grid (192x288 latxlon)   100 km   float32
tas_Amon_FIO-ESM-2-0_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   native atmosphere regular grid (192x288 latxlon)   100 km   float32
tas_Amon_FIO-ESM-2-0_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   native atmosphere regular grid (192x288 latxlon)   100 km   float32
